排名,矩阵M,矩阵N,矩阵K,计算性能,性能单位,整机功耗(W),整机能效比(性能单位/W)
1,2048,5120,69632,6152.73,TOPS,5835.00,1.054
2,2048,5120,86016,6202.98,TOPS,5931.00,1.046
3,2048,5120,88064,6198.44,TOPS,5931.00,1.045
4,2048,5120,102400,6225.39,TOPS,5963.00,1.044
5,2048,5120,81920,6183.22,TOPS,5931.00,1.043
6,2048,5120,83968,6188.73,TOPS,5931.00,1.043
7,2048,5120,98304,6216.79,TOPS,5963.00,1.043
8,2048,5120,49152,6064.66,TOPS,5819.00,1.042
9,2048,5120,94208,6210.70,TOPS,5960.00,1.042
10,2048,5120,73728,6172.85,TOPS,5931.00,1.041
11,2048,5120,79872,6179.50,TOPS,5944.00,1.040
12,2048,10240,40960,6081.18,TOPS,5851.00,1.039
13,2048,10240,57344,6156.52,TOPS,5931.00,1.038
14,2048,10240,61440,6169.42,TOPS,5947.00,1.037
15,3072,5120,67584,6167.79,TOPS,5947.00,1.037
16,2048,10240,38912,6060.06,TOPS,5851.00,1.036
17,2048,5120,108544,6223.04,TOPS,6008.00,1.036
18,2048,5120,122880,6244.97,TOPS,6027.00,1.036
19,3072,5120,61440,6141.73,TOPS,5931.00,1.036
20,3072,5120,65536,6159.21,TOPS,5947.00,1.036
21,2048,10240,36864,6041.03,TOPS,5835.00,1.035
22,2048,5120,116736,6235.56,TOPS,6027.00,1.035
23,2048,5120,124928,6240.22,TOPS,6027.00,1.035
24,5120,2048,65536,6141.34,TOPS,5931.00,1.035
25,2048,5120,112640,6231.75,TOPS,6027.00,1.034
26,2048,5120,114688,6233.70,TOPS,6027.00,1.034
27,3072,5120,40960,6031.94,TOPS,5835.00,1.034
28,3072,5120,43008,6049.88,TOPS,5851.00,1.034
29,5120,2048,77824,6168.70,TOPS,5963.00,1.034
30,2048,5120,118784,6238.99,TOPS,6040.00,1.033
31,2048,5120,120832,6241.06,TOPS,6040.00,1.033
32,3072,5120,94208,6224.11,TOPS,6027.00,1.033
33,2048,10240,79872,6220.68,TOPS,6027.00,1.032
34,3072,5120,49152,6090.29,TOPS,5899.00,1.032
35,3072,5120,55296,6121.27,TOPS,5931.00,1.032
36,3072,5120,69632,6171.79,TOPS,5979.00,1.032
37,5120,2048,67584,6139.51,TOPS,5947.00,1.032
38,1024,10240,65536,6115.01,TOPS,5931.00,1.031
39,1024,10240,59392,6093.76,TOPS,5915.00,1.030
40,2048,10240,20480,5810.49,TOPS,5643.00,1.030
41,2048,10240,45056,6104.89,TOPS,5928.00,1.030
42,2048,5120,61440,6132.81,TOPS,5957.00,1.030
43,3072,5120,77824,6192.15,TOPS,6011.00,1.030
44,5120,2048,61440,6127.89,TOPS,5947.00,1.030
45,1024,10240,47104,6007.08,TOPS,5835.00,1.029
46,2048,10240,106496,6250.45,TOPS,6075.00,1.029
47,2048,10240,30720,5986.00,TOPS,5819.00,1.029
48,2048,10240,32768,6005.08,TOPS,5835.00,1.029
49,2048,10240,43008,6086.62,TOPS,5915.00,1.029
50,2048,10240,47104,6115.37,TOPS,5944.00,1.029
51,3072,5120,81920,6203.72,TOPS,6027.00,1.029
52,4096,5120,45056,6100.66,TOPS,5931.00,1.029
53,5120,2048,94208,6203.67,TOPS,6027.00,1.029
54,2048,10240,28672,5962.59,TOPS,5803.00,1.028
55,3072,5120,36864,5999.59,TOPS,5835.00,1.028
56,3072,5120,79872,6194.47,TOPS,6027.00,1.028
57,4096,5120,71680,6196.80,TOPS,6027.00,1.028
58,5120,2048,57344,6094.75,TOPS,5931.00,1.028
59,5120,2048,92160,6204.31,TOPS,6043.00,1.027
60,2048,10240,104448,6248.21,TOPS,6091.00,1.026
61,3072,5120,47104,6087.08,TOPS,5931.00,1.026
62,3072,5120,63488,6153.74,TOPS,5995.00,1.026
63,4096,5120,43008,6087.58,TOPS,5931.00,1.026
64,5120,2048,81920,6180.71,TOPS,6027.00,1.026
65,5120,2048,83968,6180.69,TOPS,6027.00,1.026
66,5120,2048,88064,6185.43,TOPS,6027.00,1.026
67,5120,2048,90112,6198.65,TOPS,6043.00,1.026
68,1024,10240,57344,6077.63,TOPS,5931.00,1.025
69,2048,10240,63488,6177.85,TOPS,6027.00,1.025
70,4096,5120,40960,6080.64,TOPS,5931.00,1.025
71,5120,2048,30720,5885.08,TOPS,5739.00,1.025
72,5120,2048,34816,5934.44,TOPS,5787.00,1.025
73,1024,10240,32768,5870.58,TOPS,5739.00,1.023
74,2048,10240,126976,6266.80,TOPS,6123.00,1.023
75,4096,5120,98304,6246.06,TOPS,6107.00,1.023
76,5120,2048,73728,6167.29,TOPS,6027.00,1.023
77,5120,3072,49152,6098.91,TOPS,5960.00,1.023
78,2048,10240,116736,6259.06,TOPS,6123.00,1.022
79,3072,5120,124928,6257.11,TOPS,6123.00,1.022
80,3072,5120,129024,6259.87,TOPS,6123.00,1.022
81,4096,5120,38912,6059.21,TOPS,5931.00,1.022
82,4096,5120,49152,6124.48,TOPS,5995.00,1.022
83,4096,5120,53248,6143.54,TOPS,6011.00,1.022
84,2048,10240,18432,5761.90,TOPS,5643.00,1.021
85,5120,2048,75776,6169.13,TOPS,6040.00,1.021
86,5120,3072,63488,6152.54,TOPS,6027.00,1.021
87,4096,5120,18432,5754.65,TOPS,5643.00,1.020
88,4096,5120,28672,5954.10,TOPS,5835.00,1.020
89,4096,5120,36864,6048.27,TOPS,5931.00,1.020
90,5120,2048,114688,6231.83,TOPS,6107.00,1.020
