排名,矩阵M,矩阵N,矩阵K,计算性能,性能单位,整机功耗(W),整机能效比(性能单位/W)
1,2048,10240,14336,6354.61,TOPS,6699.00,0.949
2,2048,5120,49152,6979.29,TOPS,7371.00,0.947
3,2048,5120,73728,7080.66,TOPS,7483.00,0.946
4,5120,2048,30720,6727.56,TOPS,7115.00,0.946
5,2048,5120,79872,7053.02,TOPS,7467.00,0.945
6,2048,5120,61440,6945.34,TOPS,7355.00,0.944
7,2048,5120,69632,7081.96,TOPS,7499.00,0.944
8,2048,5120,98304,7131.04,TOPS,7563.00,0.943
9,2048,5120,88064,7124.91,TOPS,7563.00,0.942
10,2048,5120,86016,7060.09,TOPS,7499.00,0.941
11,2048,5120,114688,7020.94,TOPS,7467.00,0.940
12,2048,5120,124928,7151.78,TOPS,7611.00,0.940
13,2048,5120,81920,7079.66,TOPS,7531.00,0.940
14,2048,5120,112640,7092.17,TOPS,7563.00,0.938
15,2048,5120,83968,7093.53,TOPS,7563.00,0.938
16,2048,5120,102400,7087.55,TOPS,7563.00,0.937
17,5120,2048,34816,6737.59,TOPS,7192.00,0.937
18,2048,5120,108544,7061.10,TOPS,7547.00,0.936
19,3072,5120,55296,6992.75,TOPS,7467.00,0.936
20,3072,5120,63488,6979.72,TOPS,7467.00,0.935
21,3072,5120,79872,7068.69,TOPS,7563.00,0.935
22,2048,10240,20480,6644.91,TOPS,7115.00,0.934
23,2048,10240,32768,6797.37,TOPS,7275.00,0.934
24,2048,5120,120832,7090.03,TOPS,7595.00,0.934
25,2048,5120,94208,7064.58,TOPS,7563.00,0.934
26,3072,5120,40960,6882.50,TOPS,7371.00,0.934
27,3072,5120,47104,6898.17,TOPS,7384.00,0.934
28,2048,10240,38912,6892.98,TOPS,7387.00,0.933
29,2048,10240,47104,6984.35,TOPS,7483.00,0.933
30,2048,5120,122880,7073.92,TOPS,7579.00,0.933
31,5120,2048,73728,6965.19,TOPS,7467.00,0.933
32,2048,10240,30720,6867.14,TOPS,7371.00,0.932
33,2048,10240,36864,6927.60,TOPS,7435.00,0.932
34,2048,10240,40960,6957.90,TOPS,7467.00,0.932
35,2048,10240,79872,7078.18,TOPS,7595.00,0.932
36,3072,5120,36864,6839.59,TOPS,7339.00,0.932
37,3072,5120,67584,7045.50,TOPS,7563.00,0.932
38,3072,5120,77824,7078.12,TOPS,7595.00,0.932
39,5120,2048,122880,7137.14,TOPS,7659.00,0.932
40,1024,10240,47104,6866.04,TOPS,7371.00,0.931
41,1024,10240,65536,6983.22,TOPS,7499.00,0.931
42,2048,10240,28672,6815.51,TOPS,7323.00,0.931
43,2048,5120,116736,7040.18,TOPS,7563.00,0.931
44,3072,5120,61440,6964.97,TOPS,7483.00,0.931
45,3072,5120,65536,6982.35,TOPS,7499.00,0.931
46,3072,5120,81920,7057.05,TOPS,7579.00,0.931
47,5120,2048,77824,7087.43,TOPS,7611.00,0.931
48,5120,2048,92160,7041.37,TOPS,7563.00,0.931
49,2048,10240,18432,6572.85,TOPS,7067.00,0.930
