排名,矩阵M,矩阵N,矩阵K,计算性能,性能单位,整机功耗(W),整机能效比(性能单位/W)
1,2048,5120,55296,6427.36,TOPS,5990.00,1.073
2,2048,5120,40960,6316.17,TOPS,5913.00,1.068
3,2048,5120,53248,6410.07,TOPS,6009.00,1.067
4,5120,2048,45056,6317.57,TOPS,5926.00,1.066
5,5120,2048,38912,6255.30,TOPS,5878.00,1.064
6,2048,5120,38912,6299.45,TOPS,5926.00,1.063
7,2048,5120,47104,6366.70,TOPS,5990.00,1.063
8,2048,5120,45056,6356.69,TOPS,5990.00,1.061
9,1024,10240,55296,6419.40,TOPS,6054.00,1.060
10,2048,5120,51200,6394.58,TOPS,6041.00,1.059
11,5120,2048,47104,6339.87,TOPS,5990.00,1.058
12,2048,5120,36864,6262.33,TOPS,5926.00,1.057
13,2048,5120,43008,6343.06,TOPS,6006.00,1.056
14,5120,2048,49152,6341.05,TOPS,6006.00,1.056
15,1024,10240,38912,6184.30,TOPS,5862.00,1.055
16,1024,10240,49152,6289.77,TOPS,5961.00,1.055
17,5120,2048,36864,6253.86,TOPS,5926.00,1.055
18,5120,3072,34816,6287.90,TOPS,5958.00,1.055
19,2048,5120,59392,6504.20,TOPS,6169.00,1.054
20,5120,2048,55296,6415.15,TOPS,6089.00,1.054
21,1024,10240,43008,6233.35,TOPS,5926.00,1.052
22,1024,10240,53248,6394.35,TOPS,6086.00,1.051
23,2048,5120,57344,6433.21,TOPS,6121.00,1.051
24,4096,5120,24576,6211.17,TOPS,5910.00,1.051
25,5120,2048,43008,6303.00,TOPS,6006.00,1.049
26,5120,2048,59392,6457.37,TOPS,6153.00,1.049
27,5120,2048,53248,6397.92,TOPS,6102.00,1.048
28,5120,3072,28672,6170.23,TOPS,5894.00,1.047
29,2048,10240,22528,6132.21,TOPS,5862.00,1.046
30,2048,5120,32768,6482.61,TOPS,6198.00,1.046
31,1024,10240,40960,6211.49,TOPS,5942.00,1.045
32,2048,5120,65536,6574.06,TOPS,6297.00,1.044
33,3072,5120,22528,6104.14,TOPS,5849.00,1.044
34,3072,5120,32768,6251.61,TOPS,5990.00,1.044
35,4096,5120,26624,6191.53,TOPS,5929.00,1.044
36,1024,10240,34816,6183.35,TOPS,5926.00,1.043
