GPU,M,N,K,Iterations,Performance,Performance_Unit,Efficiency,Time,Interval,Samples,Min_Power,Max_Power,Avg_Power
7,1024,1024,2048,50000,87.614914,TOPS,.442186,1752175899935,3.217000,29,151.00,204.00,198.14
2,1024,1024,4096,32000,123.200760,TOPS,.563461,1752175900130,2.660000,23,176.00,224.00,218.65
0,1024,1024,6144,31667,133.136802,TOPS,.593486,1752175900180,3.685000,33,166.00,236.00,224.33
1,1024,1024,8192,31334,146.476958,TOPS,.601646,1752175900211,4.186000,37,161.00,254.00,243.46
4,1024,1024,10240,31000,153.385071,TOPS,.605858,1752175900501,4.806000,42,189.00,259.00,253.17
6,1024,1024,12288,30667,157.919150,TOPS,.614997,1752175900532,5.494000,49,181.00,264.00,256.78
3,1024,1024,14336,30334,163.227889,TOPS,.657381,1752175900623,6.067000,54,188.00,252.00,248.30
0,1024,1024,16384,30000,167.204698,TOPS,.635059,1752175924016,6.580000,59,144.00,268.00,263.29
2,1024,1024,18432,28750,168.299834,TOPS,.675658,1752175924198,7.668000,69,166.00,256.00,249.09
5,1024,1024,20480,27500,170.975238,TOPS,.684393,1752175924298,7.989000,72,172.00,254.00,249.82
3,1024,1024,22528,26250,172.470436,TOPS,.701412,1752175924360,8.305000,75,136.00,251.00,245.89
1,1024,1024,24576,25000,175.337061,TOPS,.652586,1752175924483,8.260000,74,135.00,274.00,268.68
7,1024,1024,26624,23750,175.096680,TOPS,.644590,1752175924496,8.501000,76,198.00,276.00,271.64
4,1024,1024,28672,22500,175.590140,TOPS,.651612,1752175924671,8.676000,77,179.00,275.00,269.47
7,1024,1024,30720,21250,176.892434,TOPS,.643338,1752175951375,8.576000,76,187.00,279.00,274.96
4,1024,1024,32768,20000,178.227217,TOPS,.650132,1752175951745,8.567000,77,175.00,278.00,274.14
2,1024,1024,34816,19750,178.779887,TOPS,.676888,1752175951892,8.801000,78,159.00,268.00,264.12
0,1024,1024,36864,19500,179.529640,TOPS,.663646,1752175951990,9.156000,81,183.00,274.00,270.52
6,1024,1024,38912,19250,179.767826,TOPS,.661933,1752175951940,9.536000,85,143.00,276.00,271.58
1,1024,1024,40960,19000,179.777477,TOPS,.643994,1752175952193,9.802000,88,135.00,284.00,279.16
3,1024,1024,43008,17600,179.462445,TOPS,.690612,1752175952227,9.645000,86,180.00,263.00,259.86
7,1024,1024,45056,16200,181.205321,TOPS,.639871,1752175980668,9.094000,81,206.00,286.00,283.19
0,1024,1024,47104,14800,181.731133,TOPS,.666536,1752175980926,8.614000,77,135.00,277.00,272.65
4,1024,1024,49152,13400,180.767151,TOPS,.645943,1752175981044,8.244000,74,155.00,286.00,279.85
3,1024,1024,51200,12000,181.822367,TOPS,.692577,1752175981137,7.624000,68,164.00,266.00,262.53
6,1024,1024,53248,11867,181.158746,TOPS,.656538,1752175981125,7.813000,69,181.00,281.00,275.93
2,1024,1024,55296,11734,181.625037,TOPS,.671441,1752175981346,7.936000,70,189.00,275.00,270.50
5,1024,1024,57344,11600,182.894732,TOPS,.680614,1752175981491,8.124000,72,166.00,272.00,268.72
5,1024,1024,59392,11467,183.192662,TOPS,.676836,1752176009123,8.268000,74,199.00,273.00,270.66
7,1024,1024,61440,11334,183.263164,TOPS,.636440,1752176009173,8.418000,75,193.00,291.00,287.95
0,1024,1024,63488,11200,183.612366,TOPS,.661284,1752176009219,8.527000,76,160.00,281.00,277.66
3,1024,1024,65536,11067,183.439132,TOPS,.688326,1752176009592,8.751000,78,141.00,270.00,266.50
4,1024,2048,2048,32000,169.767219,TOPS,.695624,1752176006579,2.137000,19,187.00,255.00,244.05
2,1024,2048,4096,31334,239.383313,TOPS,.845130,1752176006688,2.663000,24,152.00,297.00,283.25
6,1024,2048,6144,30667,270.009503,TOPS,.845814,1752176006872,3.363000,30,194.00,330.00,319.23
0,1024,2048,8192,30000,286.588667,TOPS,.869557,1752176035580,4.054000,36,154.00,350.00,329.58
6,1024,2048,10240,27500,304.822776,TOPS,.878527,1752176035826,4.273000,38,138.00,366.00,346.97
7,1024,2048,12288,25000,316.633715,TOPS,.855050,1752176035759,4.417000,39,235.00,379.00,370.31
4,1024,2048,14336,22500,319.018072,TOPS,.874309,1752176036127,4.634000,41,189.00,376.00,364.88
1,1024,2048,16384,20000,326.350621,TOPS,.868069,1752176036304,4.528000,40,240.00,387.00,375.95
2,1024,2048,18432,19500,334.542745,TOPS,.968846,1752176036357,5.299000,47,214.00,359.00,345.30
3,1024,2048,20480,19000,340.765428,TOPS,.979605,1752176036604,5.540000,49,178.00,358.00,347.86
3,1024,2048,22528,16200,343.111114,TOPS,.964391,1752176060221,5.069000,45,239.00,363.00,355.78
4,1024,2048,24576,13400,343.469968,TOPS,.930031,1752176060433,4.603000,42,169.00,386.00,369.31
0,1024,2048,26624,11867,350.558709,TOPS,.940895,1752176060790,4.203000,38,170.00,386.00,372.58
5,1024,2048,28672,11600,351.014934,TOPS,.947459,1752176060965,4.461000,40,200.00,383.00,370.48
6,1024,2048,30720,11334,353.894175,TOPS,.938537,1752176061118,4.593000,41,186.00,389.00,377.07
7,1024,2048,32768,11067,353.721779,TOPS,.900926,1752176061211,4.726000,42,240.00,402.00,392.62
1,1024,2048,34816,10800,355.607428,TOPS,.908181,1752176061366,4.828000,43,188.00,404.00,391.56
6,1024,2048,36864,10534,358.278084,TOPS,.927604,1752176085261,4.960000,45,196.00,397.00,386.24
4,1024,2048,38912,10267,357.148200,TOPS,.903257,1752176085806,5.117000,45,234.00,406.00,395.40
0,1024,2048,40960,10000,360.245086,TOPS,.924179,1752176085531,5.122000,46,165.00,401.00,389.80
5,1024,2048,43008,9200,360.311221,TOPS,.931807,1752176085933,5.007000,44,229.00,397.00,386.68
2,1024,2048,45056,8400,361.374016,TOPS,.940196,1752176085963,4.712000,42,236.00,394.00,384.36
7,1024,2048,47104,7937,362.648754,TOPS,.894369,1752176086174,4.652000,42,252.00,414.00,405.48
1,1024,2048,49152,7810,361.988991,TOPS,.902873,1752176086229,4.763000,43,190.00,414.00,400.93
4,1024,2048,51200,7682,363.878501,TOPS,.900021,1752176111191,4.857000,43,219.00,415.00,404.30
0,1024,2048,53248,7555,364.496537,TOPS,.914143,1752176111387,4.900000,44,233.00,408.00,398.73
2,1024,2048,55296,7428,364.724484,TOPS,.931560,1752176111542,4.999000,44,242.00,399.00,391.52
6,1024,2048,57344,7300,365.330951,TOPS,.923205,1752176111626,5.096000,46,138.00,408.00,395.72
