GPU,M,N,K,Iterations,Performance,Performance_Unit,Efficiency,Time,Interval,Samples,Min_Power,Max_Power,Avg_Power
5,1024,1024,2048,50000,81.618173,TOPS,.428284,1757674226074,3.412000,30,141.00,196.00,190.57
1,1024,1024,4096,32000,111.307571,TOPS,.532674,1757674225683,3.031000,26,157.00,217.00,208.96
2,1024,1024,6144,31667,135.760136,TOPS,.594891,1757674226052,3.410000,29,149.00,236.00,228.21
4,1024,1024,8192,31334,139.888609,TOPS,.595549,1757674226549,4.363000,37,166.00,242.00,234.89
6,1024,1024,10240,31000,146.903853,TOPS,.649499,1757674226059,5.035000,44,163.00,232.00,226.18
0,1024,1024,12288,30667,153.144371,TOPS,.630768,1757674226488,5.639000,48,145.00,248.00,242.79
7,1024,1024,14336,30334,155.508449,TOPS,.653287,1757674226693,6.353000,54,133.00,245.00,238.04
3,1024,1024,16384,30000,158.708896,TOPS,.637718,1757674226797,7.231000,61,178.00,255.00,248.87
6,1024,1024,18432,28750,164.767062,TOPS,.709927,1757674260807,7.911000,68,163.00,236.00,232.09
0,1024,1024,20480,27500,164.102506,TOPS,.662852,1757674260962,8.198000,70,133.00,254.00,247.57
2,1024,1024,22528,26250,166.219131,TOPS,.675330,1757674261003,8.546000,75,178.00,251.00,246.13
7,1024,1024,24576,25000,168.361182,TOPS,.693415,1757674261192,8.597000,74,181.00,246.00,242.80
5,1024,1024,26624,23750,168.143635,TOPS,.658870,1757674261074,8.921000,76,136.00,262.00,255.20
4,1024,1024,28672,22500,170.173520,TOPS,.653182,1757674261136,8.876000,76,169.00,265.00,260.53
3,1024,1024,30720,21250,169.992136,TOPS,.659395,1757674261421,8.872000,76,137.00,263.00,257.80
1,1024,1024,32768,20000,171.512897,TOPS,.654030,1757674261691,8.742000,75,146.00,267.00,262.24
4,1024,1024,34816,19750,172.091889,TOPS,.652406,1757674297948,9.225000,81,185.00,268.00,263.78
5,1024,1024,36864,19500,173.218633,TOPS,.655584,1757674298186,9.537000,81,149.00,270.00,264.22
2,1024,1024,38912,19250,173.434436,TOPS,.672044,1757674297977,9.809000,83,189.00,261.00,258.07
0,1024,1024,40960,19000,173.745773,TOPS,.657530,1757674298332,10.122000,89,167.00,268.00,264.24
7,1024,1024,43008,17600,172.765968,TOPS,.693950,1757674298538,9.961000,84,176.00,255.00,248.96
1,1024,1024,45056,16200,175.009732,TOPS,.652656,1757674298307,9.329000,82,134.00,273.00,268.15
6,1024,1024,47104,14800,174.061747,TOPS,.700816,1757674298832,9.046000,76,176.00,253.00,248.37
3,1024,1024,49152,13400,174.164895,TOPS,.660641,1757674298886,8.557000,73,146.00,268.00,263.63
2,1024,1024,51200,12000,172.339618,TOPS,.674545,1757674337426,8.035000,68,163.00,263.00,255.49
6,1024,1024,53248,11867,174.704213,TOPS,.700807,1757674337233,8.139000,68,187.00,253.00,249.29
7,1024,1024,55296,11734,175.016490,TOPS,.697026,1757674337218,8.332000,74,155.00,255.00,251.09
0,1024,1024,57344,11600,175.332398,TOPS,.660211,1757674337393,8.516000,75,189.00,270.00,265.57
5,1024,1024,59392,11467,174.562889,TOPS,.653035,1757674337789,8.753000,78,136.00,276.00,267.31
1,1024,1024,61440,11334,172.934011,TOPS,.654012,1757674337411,9.088000,81,155.00,276.00,264.42
4,1024,1024,63488,11200,148.857817,TOPS,.713125,1757674337408,14.169000,125,142.00,262.00,208.74
3,1024,1024,65536,11067,175.583697,TOPS,.691247,1757674337484,10.097000,89,157.00,260.00,254.01
1,1024,2048,2048,32000,161.434296,TOPS,.671663,1757674378097,2.095000,17,182.00,248.00,240.35
4,1024,2048,4096,31334,226.129473,TOPS,.814118,1757674378084,2.871000,25,173.00,287.00,277.76
6,1024,2048,6144,30667,249.683364,TOPS,.907543,1757674378231,3.727000,32,136.00,295.00,275.12
7,1024,2048,8192,30000,268.568614,TOPS,.900330,1757674378529,4.420000,37,209.00,307.00,298.30
2,1024,2048,10240,27500,289.749581,TOPS,.892910,1757674378282,4.503000,40,151.00,339.00,324.50
0,1024,2048,12288,25000,299.409870,TOPS,.895900,1757674378553,4.683000,40,166.00,348.00,334.20
3,1024,2048,14336,22500,308.967387,TOPS,.902700,1757674378619,4.746000,41,155.00,357.00,342.27
5,1024,2048,16384,20000,313.618107,TOPS,.908774,1757674378869,4.945000,41,236.00,353.00,345.10
2,1024,2048,18432,19500,325.715235,TOPS,.960755,1757674411217,5.345000,45,217.00,349.00,339.02
0,1024,2048,20480,19000,325.296490,TOPS,.955714,1757674410918,5.755000,49,165.00,353.00,340.37
4,1024,2048,22528,16200,327.187465,TOPS,.943012,1757674411357,5.370000,47,178.00,363.00,346.96
1,1024,2048,24576,13400,330.694143,TOPS,.942148,1757674411526,4.703000,40,195.00,365.00,351.00
3,1024,2048,26624,11867,337.004555,TOPS,.945526,1757674411799,4.376000,36,236.00,366.00,356.42
7,1024,2048,28672,11600,335.266279,TOPS,.974837,1757674411849,4.634000,39,214.00,357.00,343.92
5,1024,2048,30720,11334,340.638131,TOPS,.939354,1757674411974,4.754000,41,212.00,374.00,362.63
6,1024,2048,32768,11067,343.249776,TOPS,.989877,1757674412157,4.876000,41,225.00,354.00,346.76
3,1024,2048,34816,10800,339.905861,TOPS,.954255,1757674445713,5.117000,44,134.00,369.00,356.20
2,1024,2048,36864,10534,342.378779,TOPS,.952560,1757674445826,5.212000,46,224.00,368.00,359.43
7,1024,2048,38912,10267,340.298645,TOPS,.967609,1757674445819,5.407000,45,226.00,362.00,351.69
1,1024,2048,40960,10000,347.747671,TOPS,.933801,1757674445788,5.332000,47,216.00,381.00,372.40
0,1024,2048,43008,9200,347.013699,TOPS,.939907,1757674446451,5.179000,45,232.00,378.00,369.20
4,1024,2048,45056,8400,344.366501,TOPS,.934686,1757674446114,5.023000,44,187.00,380.00,368.43
6,1024,2048,47104,7937,345.287163,TOPS,.985211,1757674446141,4.926000,43,223.00,359.00,350.47
5,1024,2048,49152,7810,348.239037,TOPS,.936881,1757674446639,4.974000,43,137.00,384.00,371.70
0,1024,2048,51200,7682,351.743667,TOPS,.933180,1757674481480,4.988000,42,234.00,385.00,376.93
6,1024,2048,53248,7555,351.948784,TOPS,.974252,1757674481400,5.088000,44,238.00,368.00,361.25
7,1024,2048,55296,7428,342.094129,TOPS,.970810,1757674481724,5.458000,48,187.00,373.00,352.38
3,1024,2048,57344,7300,351.676067,TOPS,.931913,1757674481581,5.305000,46,238.00,386.00,377.37
1,1024,2048,59392,7173,349.916429,TOPS,.925435,1757674481775,5.436000,47,249.00,388.00,378.11
